verb,gloss,class,class_name,transitive,stem,past_stem,kind,paradigm,paradigm_na,paradigm_en,person,person_en,honorific,subject,subject_marking,needs_check,form,aksara,morphemes,rules
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,timi,2nd person · mid grade,no,तिमी(हरू)ले,ergative -ले,no,गर्यौ,ग र्यौ,stem:गर् + end:यौ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,tapai,2nd person · high grade,yes,तपाईं(हरू)ले,ergative -ले,no,गर्नुभयो,ग र्नु भ यो,stem:गर्नु + aux:भयो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,u,3rd person · low grade,no,उसले / त्यसले,ergative -ले,no,गर्यो,ग र्यो,stem:गर् + end:यो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,uni,3rd person · mid grade,no,उनले / उनीहरूले,ergative -ले,no,गरे,ग रे,stem:गर् + end:ए,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,uha,3rd person · high grade,yes,उहाँले,ergative -ले,no,गर्नुभयो,ग र्नु भ यो,stem:गर्नु + aux:भयो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,ma,1st person · singular,no,म,nominative,no,गर्थेँ,ग र्थेँ,stem:गर् + end:थेँ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,hami,1st person · plural,no,हामी(हरू),nominative,no,गर्थ्यौँ,ग र्थ्यौँ,stem:गर् + end:थ्यौँ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,ta,2nd person · low grade,no,तँ,nominative,no,गर्थिस्,ग र्थि स्,stem:गर् + end:थिस्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,गर्थ्यौ,ग र्थ्यौ,stem:गर् + end:थ्यौ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,गर्नुहुन्थ्यो,ग र्नु हु न्थ्यो,stem:गर्नु + aux:हुन्थ्यो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,गर्थ्यो,ग र्थ्यो,stem:गर् + end:थ्यो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,गर्थे,ग र्थे,stem:गर् + end:थे,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpast,अभ्यस्त भूत,habitual past,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,गर्नुहुन्थ्यो,ग र्नु हु न्थ्यो,stem:गर्नु + aux:हुन्थ्यो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,ma,1st person · singular,no,म,nominative,no,गर्दै थिएँ,ग र्दै   थि एँ,stem:गर् + end:दै + aux: थिएँ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,hami,1st person · plural,no,हामी(हरू),nominative,no,गर्दै थियौँ,ग र्दै   थि यौँ,stem:गर् + end:दै + aux: थियौँ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,ta,2nd person · low grade,no,तँ,nominative,no,गर्दै थिइस्,ग र्दै   थि इ स्,stem:गर् + end:दै + aux: थिइस्,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,गर्दै थियौ,ग र्दै   थि यौ,stem:गर् + end:दै + aux: थियौ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,गर्दै हुनुहुन्थ्यो,ग र्दै   हु नु हु न्थ्यो,stem:गर् + end:दै + aux: हुनुहुन्थ्यो,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,गर्दै थियो,ग र्दै   थि यो,stem:गर् + end:दै + aux: थियो,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,गर्दै थिए,ग र्दै   थि ए,stem:गर् + end:दै + aux: थिए,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastcont,भूत निरन्तर,past continuous,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,गर्दै हुनुहुन्थ्यो,ग र्दै   हु नु हु न्थ्यो,stem:गर् + end:दै + aux: हुनुहुन्थ्यो,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,ma,1st person · singular,no,मैले,ergative -ले,no,गरेको थिएँ,ग रे को   थि एँ,stem:गर् + end:एको + aux: थिएँ,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,hami,1st person · plural,no,हामी(हरू)ले,ergative -ले,no,गरेका थियौँ,ग रे का   थि यौँ,stem:गर् + end:एका + aux: थियौँ,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,ta,2nd person · low grade,no,तैंले,ergative -ले,no,गरेको थिइस्,ग रे को   थि इ स्,stem:गर् + end:एको + aux: थिइस्,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,timi,2nd person · mid grade,no,तिमी(हरू)ले,ergative -ले,no,गरेको थियौ,ग रे को   थि यौ,stem:गर् + end:एको + aux: थियौ,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,tapai,2nd person · high grade,yes,तपाईं(हरू)ले,ergative -ले,no,गर्नुभएको थियो,ग र्नु भ ए को   थि यो,stem:गर्नु + aux:भएको थियो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,u,3rd person · low grade,no,उसले / त्यसले,ergative -ले,no,गरेको थियो,ग रे को   थि यो,stem:गर् + end:एको + aux: थियो,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,uni,3rd person · mid grade,no,उनले / उनीहरूले,ergative -ले,no,गरेका थिए,ग रे का   थि ए,stem:गर् + end:एका + aux: थिए,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,pastperf,भूत पूर्ण,past perfect,uha,3rd person · high grade,yes,उहाँले,ergative -ले,no,गर्नुभएको थियो,ग र्नु भ ए को   थि यो,stem:गर्नु + aux:भएको थियो,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,ma,1st person · singular,no,म,nominative,no,गर्नेछु,ग र्ने छु,stem:गर् + end:ने + end:छु,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,hami,1st person · plural,no,हामी(हरू),nominative,no,गर्नेछौँ,ग र्ने छौँ,stem:गर् + end:ने + end:छौँ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,ta,2nd person · low grade,no,तँ,nominative,no,गर्नेछस्,ग र्ने छ स्,stem:गर् + end:ने + end:छस्,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,गर्नेछौ,ग र्ने छौ,stem:गर् + end:ने + end:छौ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,गर्नुहुनेछ,ग र्नु हु ने छ,stem:गर्नु + aux:हुनेछ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,गर्नेछ,ग र्ने छ,stem:गर् + end:ने + end:छ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,गर्नेछन्,ग र्ने छ न्,stem:गर् + end:ने + end:छन्,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,future,सामान्य भविष्यत्,simple future,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,गर्नुहुनेछ,ग र्नु हु ने छ,stem:गर्नु + aux:हुनेछ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,ma,1st person · singular,no,म,nominative,yes,गरुँला,ग रुँ ला,stem:गर् + end:उँला,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,hami,1st person · plural,no,हामी(हरू),nominative,yes,गरौँला,ग रौँ ला,stem:गर् + end:औँला,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,ta,2nd person · low grade,no,तँ,nominative,yes,गर्लास्,ग र्ला स्,stem:गर् + end:लास्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,timi,2nd person · mid grade,no,तिमी(हरू),nominative,yes,गरौला,ग रौ ला,stem:गर् + end:औला,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,yes,गर्नुहोला,ग र्नु हो ला,stem:गर्नु + aux:होला,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,u,3rd person · low grade,no,ऊ / त्यो,nominative,yes,गर्ला,ग र्ला,stem:गर् + end:ला,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,yes,गर्लान्,ग र्ला न्,stem:गर् + end:लान्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prob,सम्भावना,probable,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,yes,गर्नुहोला,ग र्नु हो ला,stem:गर्नु + aux:होला,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,ma,1st person · singular,no,म,nominative,no,गरूँ,ग रूँ,stem:गर् + end:ऊँ,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,hami,1st person · plural,no,हामी(हरू),nominative,no,गरौँ,ग रौँ,stem:गर् + end:औँ,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,ta,2nd person · low grade,no,तँ,nominative,no,गर्,ग र्,stem:गर्,empty-base
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,गर,ग र,stem:गर् + end:अ,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,गर्नुहोस्,ग र्नु हो स्,stem:गर्नु + aux:होस्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,गरोस्,ग रो स्,stem:गर् + end:ओस्,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,गरून्,ग रू न्,stem:गर् + end:ऊन्,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,imp,आज्ञा र इच्छा,imperative & optative,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,गर्नुहोस्,ग र्नु हो स्,stem:गर्नु + aux:होस्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,क्रियार्थक नाम,,dictionary form,,,,,,,गर्नु,ग र्नु,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,उद्देश्यवाचक,,in order to …,,,,,,,गर्न,ग र्न,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,भविष्यवाचक,,the one that will …,,,,,,,गर्ने,ग र्ने,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,पूर्णकालिक,,having …-ed,,,,,,,गरेको,ग रे को,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,पूर्वकालिक,,"…-ing, then",,,,,,,गरेर,ग रे र,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,क्रियाविशेषण,,by …-ing,,,,,,,गरी,ग री,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,अपूर्णकालिक,,while …-ing,,,,,,,गर्दै,ग र्दै,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,समयवाचक,,when …-ing,,,,,,,गर्दा,ग र्दा,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,non-finite,सर्तवाचक,,if …,,,,,,,गरे भने,ग रे   भ ने,,
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,infinitive,,,,,,,,,,गर्नु,ग र्नु,,
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,ma,1st person · singular,no,म,nominative,no,भन्छु,भ न्छु,stem:भन् + end:छु,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,hami,1st person · plural,no,हामी(हरू),nominative,no,भन्छौँ,भ न्छौँ,stem:भन् + end:छौँ,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,ta,2nd person · low grade,no,तँ,nominative,no,भन्छस्,भ न्छ स्,stem:भन् + end:छस्,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,भन्छौ,भ न्छौ,stem:भन् + end:छौ,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,भन्नुहुन्छ,भ न्नु हु न्छ,stem:भन्नु + aux:हुन्छ,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,भन्छ,भ न्छ,stem:भन् + end:छ,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,भन्छन्,भ न्छ न्,stem:भन् + end:छन्,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,habpres,अभ्यस्त वर्तमान,habitual present,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,भन्नुहुन्छ,भ न्नु हु न्छ,stem:भन्नु + aux:हुन्छ,empty-base > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,ma,1st person · singular,no,म,nominative,no,भन्दैछु,भ न्दै छु,stem:भन् + end:दै + aux:छु,empty-base > concatenate > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,hami,1st person · plural,no,हामी(हरू),nominative,no,भन्दैछौँ,भ न्दै छौँ,stem:भन् + end:दै + aux:छौँ,empty-base > concatenate > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,ta,2nd person · low grade,no,तँ,nominative,no,भन्दैछस्,भ न्दै छ स्,stem:भन् + end:दै + aux:छस्,empty-base > concatenate > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,भन्दैछौ,भ न्दै छौ,stem:भन् + end:दै + aux:छौ,empty-base > concatenate > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,भन्दै हुनुहुन्छ,भ न्दै   हु नु हु न्छ,stem:भन् + end:दै + aux: हुनुहुन्छ,empty-base > concatenate > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,भन्दैछ,भ न्दै छ,stem:भन् + end:दै + aux:छ,empty-base > concatenate > concatenate
भन्नु,to say,C,व्यञ्जनान्त,yes,भन्,भन्,finite,prescont,वर्तमान निरन्तर,present continuous,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,भन्दैछन्,भ न्दै छ न्,stem:भन् + end:दै + aux:छन्,empty-base > concatenate > concatenate
